label,stroke,point,x,y,pen
!,0,0,0.13000,1.00000,0
!,0,1,0.13000,0.30000,1
!,1,0,0.10000,0.00000,0
!,1,1,0.16000,0.00000,1
+,0,0,0.04000,0.46000,0
+,0,1,0.42000,0.46000,1
+,1,0,0.23000,0.27000,0
+,1,1,0.23000,0.65000,1
,,0,0,0.15000,0.06000,0
,,0,1,0.06000,-0.12000,1
-,0,0,0.04000,0.46000,0
-,0,1,0.36000,0.46000,1
.,0,0,0.09000,0.00000,0
.,0,1,0.15000,0.00000,1
/,0,0,0.00000,0.00000,0
/,0,1,0.42000,1.00000,1
0,0,0,0.56000,0.50000,0
0,0,1,0.55932,0.53488,1
0,0,2,0.55728,0.56959,1
0,0,3,0.55388,0.60396,1
0,0,4,0.54915,0.63782,1
0,0,5,0.54311,0.67101,1
0,0,6,0.53579,0.70337,1
0,0,7,0.52723,0.73474,1
0,0,8,0.51745,0.76496,1
0,0,9,0.50652,0.79389,1
0,0,10,0.49449,0.82139,1
0,0,11,0.48142,0.84733,1
0,0,12,0.46736,0.87157,1
0,0,13,0.45239,0.89401,1
0,0,14,0.43657,0.91452,1
0,0,15,0.42000,0.93301,1
0,0,16,0.40274,0.94940,1
0,0,17,0.38489,0.96359,1
0,0,18,0.36652,0.97553,1
0,0,19,0.34774,0.98515,1
0,0,20,0.32862,0.99240,1
0,0,21,0.30927,0.99726,1
0,0,22,0.28977,0.99970,1
0,0,23,0.27023,0.99970,1
0,0,24,0.25073,0.99726,1
0,0,25,0.23138,0.99240,1
0,0,26,0.21226,0.98515,1
0,0,27,0.19348,0.97553,1
0,0,28,0.17511,0.96359,1
0,0,29,0.15726,0.94940,1
0,0,30,0.14000,0.93301,1
0,0,31,0.12343,0.91452,1
0,0,32,0.10761,0.89401,1
0,0,33,0.09264,0.87157,1
0,0,34,0.07858,0.84733,1
0,0,35,0.06551,0.82139,1
0,0,36,0.05348,0.79389,1
0,0,37,0.04255,0.76496,1
0,0,38,0.03277,0.73474,1
0,0,39,0.02421,0.70337,1
0,0,40,0.01689,0.67101,1
0,0,41,0.01085,0.63782,1
0,0,42,0.00612,0.60396,1
0,0,43,0.00272,0.56959,1
0,0,44,0.00068,0.53488,1
0,0,45,0.00000,0.50000,1
0,0,46,0.00068,0.46512,1
0,0,47,0.00272,0.43041,1
0,0,48,0.00612,0.39604,1
0,0,49,0.01085,0.36218,1
0,0,50,0.01689,0.32899,1
0,0,51,0.02421,0.29663,1
0,0,52,0.03277,0.26526,1
0,0,53,0.04255,0.23504,1
0,0,54,0.05348,0.20611,1
0,0,55,0.06551,0.17861,1
0,0,56,0.07858,0.15267,1
0,0,57,0.09264,0.12843,1
0,0,58,0.10761,0.10599,1
0,0,59,0.12343,0.08548,1
0,0,60,0.14000,0.06699,1
0,0,61,0.15726,0.05060,1
0,0,62,0.17511,0.03641,1
0,0,63,0.19348,0.02447,1
0,0,64,0.21226,0.01485,1
0,0,65,0.23138,0.00760,1
0,0,66,0.25073,0.00274,1
0,0,67,0.27023,0.00030,1
0,0,68,0.28977,0.00030,1
0,0,69,0.30927,0.00274,1
0,0,70,0.32862,0.00760,1
0,0,71,0.34774,0.01485,1
0,0,72,0.36652,0.02447,1
0,0,73,0.38489,0.03641,1
0,0,74,0.40274,0.05060,1
0,0,75,0.42000,0.06699,1
0,0,76,0.43657,0.08548,1
0,0,77,0.45239,0.10599,1
0,0,78,0.46736,0.12843,1
0,0,79,0.48142,0.15267,1
0,0,80,0.49449,0.17861,1
0,0,81,0.50652,0.20611,1
0,0,82,0.51745,0.23504,1
0,0,83,0.52723,0.26526,1
0,0,84,0.53579,0.29663,1
0,0,85,0.54311,0.32899,1
0,0,86,0.54915,0.36218,1
0,0,87,0.55388,0.39604,1
0,0,88,0.55728,0.43041,1
0,0,89,0.55932,0.46512,1
0,0,90,0.56000,0.50000,1
1,0,0,0.06000,0.80000,0
1,0,1,0.26000,1.00000,1
1,0,2,0.26000,0.00000,1
1,1,0,0.04000,0.00000,0
1,1,1,0.46000,0.00000,1
2,0,0,0.03000,0.78000,0
2,0,1,0.03132,0.80468,1
2,0,2,0.03518,0.82781,1
2,0,3,0.04140,0.84937,1
2,0,4,0.04982,0.86935,1
2,0,5,0.06027,0.88775,1
2,0,6,0.07258,0.90454,1
2,0,7,0.08660,0.91972,1
2,0,8,0.10214,0.93327,1
2,0,9,0.11905,0.94519,1
2,0,10,0.13716,0.95546,1
2,0,11,0.15630,0.96407,1
2,0,12,0.17630,0.97101,1
2,0,13,0.19699,0.97627,1
2,0,14,0.21822,0.97983,1
2,0,15,0.23980,0.98169,1
2,0,16,0.26159,0.98183,1
2,0,17,0.28340,0.98024,1
2,0,18,0.30507,0.97690,1
2,0,19,0.32644,0.97182,1
2,0,20,0.34733,0.96497,1
2,0,21,0.36759,0.95634,1
2,0,22,0.38704,0.94593,1
2,0,23,0.40551,0.93371,1
2,0,24,0.42285,0.91968,1
2,0,25,0.43888,0.90383,1
2,0,26,0.45343,0.88615,1
2,0,27,0.46634,0.86662,1
2,0,28,0.47745,0.84523,1
2,0,29,0.48657,0.82197,1
2,0,30,0.49356,0.79683,1
2,0,31,0.49824,0.76980,1
2,0,32,0.50044,0.74086,1
2,0,33,0.50000,0.71000,1
2,0,34,0.02000,0.00000,1
2,0,35,0.54000,0.00000,1
3,0,0,0.04000,0.86000,0
3,0,1,0.05782,0.88266,1
3,0,2,0.07751,0.90268,1
3,0,3,0.09885,0.92009,1
3,0,4,0.12160,0.93495,1
3,0,5,0.14552,0.94728,1
3,0,6,0.17038,0.95714,1
3,0,7,0.19595,0.96456,1
3,0,8,0.22200,0.96959,1
3,0,9,0.24828,0.97227,1
3,0,10,0.27456,0.97264,1
3,0,11,0.30061,0.97075,1
3,0,12,0.32620,0.96663,1
3,0,13,0.35109,0.96033,1
3,0,14,0.37505,0.95189,1
3,0,15,0.39784,0.94136,1
3,0,16,0.41923,0.92877,1
3,0,17,0.43898,0.91417,1
3,0,18,0.45686,0.89760,1
3,0,19,0.47264,0.87910,1
3,0,20,0.48608,0.85872,1
3,0,21,0.49695,0.83649,1
3,0,22,0.50501,0.81247,1
3,0,23,0.51002,0.78668,1
3,0,24,0.51177,0.75918,1
3,0,25,0.51000,0.73000,1
3,0,26,0.50355,0.69856,1
3,0,27,0.49426,0.66931,1
3,0,28,0.48219,0.64234,1
3,0,29,0.46741,0.61778,1
3,0,30,0.44999,0.59571,1
3,0,31,0.43000,0.57625,1
3,0,32,0.40751,0.55950,1
3,0,33,0.38259,0.54556,1
3,0,34,0.35531,0.53453,1
3,0,35,0.32574,0.52653,1
3,0,36,0.29395,0.52165,1
3,0,37,0.26000,0.52000,1
3,0,38,0.29156,0.51905,1
3,0,39,0.32212,0.51615,1
3,0,40,0.35144,0.51120,1
3,0,41,0.37932,0.50412,1
3,0,42,0.40556,0.49481,1
3,0,43,0.42992,0.48320,1
3,0,44,0.45220,0.46919,1
3,0,45,0.47220,0.45268,1
3,0,46,0.48968,0.43360,1
3,0,47,0.50444,0.41185,1
3,0,48,0.51628,0.38735,1
3,0,49,0.52496,0.36000,1
3,0,50,0.53028,0.32972,1
3,0,51,0.53204,0.29641,1
3,0,52,0.53000,0.26000,1
3,0,53,0.52462,0.22979,1
3,0,54,0.51615,0.20167,1
3,0,55,0.50482,0.17564,1
3,0,56,0.49088,0.15171,1
3,0,57,0.47456,0.12988,1
3,0,58,0.45609,0.11016,1
3,0,59,0.43573,0.09254,1
3,0,60,0.41370,0.07704,1
3,0,61,0.39025,0.06365,1
3,0,62,0.36562,0.05239,1
3,0,63,0.34004,0.04325,1
3,0,64,0.31375,0.03625,1
3,0,65,0.28699,0.03138,1
3,0,66,0.26001,0.02865,1
3,0,67,0.23303,0.02807,1
3,0,68,0.20630,0.02963,1
3,0,69,0.18005,0.03335,1
3,0,70,0.15453,0.03922,1
3,0,71,0.12997,0.04725,1
3,0,72,0.10662,0.05745,1
3,0,73,0.08471,0.06982,1
3,0,74,0.06447,0.08437,1
3,0,75,0.04616,0.10109,1
3,0,76,0.03000,0.12000,1
4,0,0,0.42000,0.00000,0
4,0,1,0.42000,1.00000,1
4,0,2,0.02000,0.30000,1
4,0,3,0.56000,0.30000,1
5,0,0,0.50000,1.00000,0
5,0,1,0.09000,1.00000,1
5,0,2,0.06000,0.60000,1
5,0,3,0.09008,0.61490,1
5,0,4,0.12024,0.62715,1
5,0,5,0.15033,0.63680,1
5,0,6,0.18023,0.64389,1
5,0,7,0.20980,0.64848,1
5,0,8,0.23891,0.65062,1
5,0,9,0.26741,0.65037,1
5,0,10,0.29519,0.64778,1
5,0,11,0.32209,0.64289,1
5,0,12,0.34799,0.63576,1
5,0,13,0.37276,0.62645,1
5,0,14,0.39625,0.61500,1
5,0,15,0.41834,0.60147,1
5,0,16,0.43888,0.58590,1
5,0,17,0.45775,0.56836,1
5,0,18,0.47481,0.54889,1
5,0,19,0.48993,0.52754,1
5,0,20,0.50297,0.50438,1
5,0,21,0.51379,0.47944,1
5,0,22,0.52227,0.45278,1
5,0,23,0.52826,0.42445,1
5,0,24,0.53164,0.39451,1
5,0,25,0.53226,0.36301,1
5,0,26,0.53000,0.33000,1
5,0,27,0.52600,0.29621,1
5,0,28,0.51896,0.26444,1
5,0,29,0.50910,0.23471,1
5,0,30,0.49662,0.20701,1
5,0,31,0.48176,0.18136,1
5,0,32,0.46473,0.15776,1
5,0,33,0.44574,0.13623,1
5,0,34,0.42503,0.11677,1
5,0,35,0.40280,0.09938,1
5,0,36,0.37928,0.08408,1
5,0,37,0.35468,0.07087,1
5,0,38,0.32923,0.05976,1
5,0,39,0.30314,0.05076,1
5,0,40,0.27663,0.04388,1
5,0,41,0.24992,0.03912,1
5,0,42,0.22323,0.03649,1
5,0,43,0.19678,0.03600,1
5,0,44,0.17078,0.03766,1
5,0,45,0.14546,0.04147,1
5,0,46,0.12104,0.04744,1
5,0,47,0.09773,0.05558,1
5,0,48,0.07575,0.06590,1
5,0,49,0.05532,0.07841,1
5,0,50,0.03667,0.09310,1
5,0,51,0.02000,0.11000,1
6,0,0,0.47000,0.93000,0
6,0,1,0.45143,0.94144,1
6,0,2,0.43278,0.95106,1
6,0,3,0.41412,0.95886,1
6,0,4,0.39546,0.96481,1
6,0,5,0.37685,0.96893,1
6,0,6,0.35833,0.97120,1
6,0,7,0.33993,0.97161,1
6,0,8,0.32170,0.97017,1
6,0,9,0.30367,0.96686,1
6,0,10,0.28588,0.96168,1
6,0,11,0.26836,0.95462,1
6,0,12,0.25116,0.94568,1
6,0,13,0.23432,0.93485,1
6,0,14,0.21787,0.92212,1
6,0,15,0.20185,0.90749,1
6,0,16,0.18630,0.89095,1
6,0,17,0.17125,0.87250,1
6,0,18,0.15675,0.85213,1
6,0,19,0.14283,0.82983,1
6,0,20,0.12954,0.80560,1
6,0,21,0.11690,0.77942,1
6,0,22,0.10496,0.75131,1
6,0,23,0.09376,0.72124,1
6,0,24,0.08333,0.68922,1
6,0,25,0.07371,0.65523,1
6,0,26,0.06494,0.61928,1
6,0,27,0.05707,0.58134,1
6,0,28,0.05011,0.54143,1
6,0,29,0.04413,0.49953,1
6,0,30,0.03914,0.45564,1
6,0,31,0.03520,0.40974,1
6,0,32,0.03234,0.36184,1
6,0,33,0.03059,0.31193,1
6,0,34,0.03000,0.26000,1
6,0,35,0.03214,0.22535,1
6,0,36,0.03853,0.19131,1
6,0,37,0.04904,0.15850,1
6,0,38,0.06350,0.12750,1
6,0,39,0.08165,0.09887,1
6,0,40,0.10315,0.07311,1
6,0,41,0.12764,0.05068,1
6,0,42,0.15466,0.03199,1
6,0,43,0.18374,0.01737,1
6,0,44,0.21436,0.00708,1
6,0,45,0.24598,0.00131,1
6,0,46,0.27802,0.00015,1
6,0,47,0.30992,0.00362,1
6,0,48,0.34111,0.01167,1
6,0,49,0.37102,0.02416,1
6,0,50,0.39914,0.04085,1
6,0,51,0.42495,0.06145,1
6,0,52,0.44800,0.08560,1
6,0,53,0.46787,0.11285,1
6,0,54,0.48420,0.14274,1
6,0,55,0.49672,0.17471,1
6,0,56,0.50519,0.20821,1
