loop,x,y
0,-11.0593,-9.5118
0,-10.8593,-9.5118
0,-10.6593,-9.5118
0,-10.4593,-9.5118
0,-10.2593,-9.5118
0,-10.0593,-9.5118
0,-9.8593,-9.5118
0,-9.6593,-9.5118
0,-9.4593,-9.5118
0,-9.2593,-9.5118
0,-9.0593,-9.5118
0,-8.8593,-9.5118
0,-8.6593,-9.5118
0,-8.4593,-9.5118
0,-8.2593,-9.5118
0,-8.1593,-9.4118
0,-8.0593,-9.3118
0,-7.8593,-9.3118
0,-7.6593,-9.3118
0,-7.4593,-9.3118
0,-7.2593,-9.3118
0,-7.1593,-9.2118
0,-7.0593,-9.1118
0,-6.8593,-9.1118
0,-6.6593,-9.1118
0,-6.4593,-9.1118
0,-6.3593,-9.0118
0,-6.2593,-8.9118
0,-6.0593,-8.9118
0,-5.8593,-8.9118
0,-5.7593,-8.8118
0,-5.6593,-8.7118
0,-5.4593,-8.7118
0,-5.2593,-8.7118
0,-5.1593,-8.6118
0,-5.0593,-8.5118
0,-4.8593,-8.5118
0,-4.7593,-8.4118
0,-4.6593,-8.3118
0,-4.4593,-8.3118
0,-4.2593,-8.3118
0,-4.1593,-8.2118
0,-4.0593,-8.1118
0,-3.8593,-8.1118
0,-3.7593,-8.0118
0,-3.6593,-7.9118
0,-3.5593,-7.8118
0,-3.4593,-7.7118
0,-3.2593,-7.7118
0,-3.1593,-7.6118
0,-3.0593,-7.5118
0,-2.9593,-7.4118
0,-2.8593,-7.3118
0,-2.6593,-7.3118
0,-2.5593,-7.2118
0,-2.4593,-7.1118
0,-2.3593,-7.0118
0,-2.2593,-6.9118
0,-2.1593,-6.8118
0,-2.0593,-6.7118
0,-1.8593,-6.7118
0,-1.7593,-6.6118
0,-1.6593,-6.5118
0,-1.5593,-6.4118
0,-1.4593,-6.3118
0,-1.3593,-6.2118
0,-1.2593,-6.1118
0,-1.1593,-6.0118
0,-1.0593,-5.9118
0,-0.9593,-5.8118
0,-0.8593,-5.7118
0,-0.7593,-5.6118
0,-0.6593,-5.5118
0,-0.5593,-5.4118
0,-0.4593,-5.3118
0,-0.3593,-5.2118
0,-0.3593,-5.0118
0,-0.2593,-4.9118
0,-0.1593,-4.8118
0,-0.0593,-4.7118
0,0.0407,-4.6118
0,0.1407,-4.5118
0,0.2407,-4.4118
0,0.2407,-4.2118
0,0.3407,-4.1118
0,0.4407,-4.0118
0,0.5407,-3.9118
0,0.6407,-3.8118
0,0.6407,-3.6118
0,0.7407,-3.5118
0,0.8407,-3.4118
0,0.9407,-3.3118
0,1.0407,-3.2118
0,1.0407,-3.0118
0,1.1407,-2.9118
0,1.2407,-2.8118
0,1.2407,-2.6118
0,1.2407,-2.4118
0,1.3407,-2.3118
0,1.4407,-2.2118
0,1.5407,-2.1118
0,1.6407,-2.2118
0,1.7407,-2.3118
0,1.8407,-2.2118
0,1.9407,-2.1118
0,2.0407,-2.2118
0,2.1407,-2.3118
0,2.2407,-2.2118
0,2.3407,-2.1118
0,2.4407,-2.2118
0,2.5407,-2.3118
0,2.6407,-2.2118
0,2.7407,-2.1118
0,2.8407,-2.2118
0,2.9407,-2.3118
0,3.1407,-2.3118
0,3.3407,-2.3118
0,3.5407,-2.3118
0,3.6407,-2.4118
0,3.7407,-2.5118
0,3.8407,-2.4118
0,3.9407,-2.3118
0,4.0407,-2.4118
0,4.1407,-2.5118
0,4.2407,-2.4118
0,4.3407,-2.3118
0,4.4407,-2.4118
0,4.5407,-2.5118
0,4.6407,-2.4118
0,4.7407,-2.3118
0,4.8407,-2.4118
0,4.9407,-2.5118
0,5.0407,-2.4118
0,5.1407,-2.3118
0,5.3407,-2.3118
0,5.5407,-2.3118
0,5.7407,-2.3118
0,5.8407,-2.2118
0,5.9407,-2.1118
0,6.1407,-2.1118
0,6.2407,-2.0118
0,6.3407,-1.9118
0,6.4407,-1.8118
0,6.5407,-1.7118
0,6.6407,-1.6118
0,6.7407,-1.5118
0,6.8407,-1.4118
0,6.9407,-1.3118
0,7.0407,-1.2118
0,7.1407,-1.1118
0,7.2407,-1.0118
0,7.3407,-0.9118
0,7.4407,-0.8118
0,7.5407,-0.7118
0,7.6407,-0.6118
0,7.7407,-0.5118
0,7.8407,-0.4118
0,7.9407,-0.3118
0,8.0407,-0.2118
0,8.1407,-0.1118
0,8.2407,-0.0118
0,8.3407,0.0882
0,8.4407,0.1882
0,8.5407,0.2882
0,8.6407,0.3882
0,8.7407,0.4882
0,8.8407,0.5882
0,8.9407,0.6882
0,9.0407,0.7882
0,9.1407,0.8882
0,9.2407,0.9882
0,9.3407,1.0882
0,9.4407,1.1882
0,9.5407,1.2882
0,9.6407,1.3882
0,9.7407,1.4882
0,9.8407,1.5882
0,9.9407,1.6882
0,10.0407,1.7882
0,10.1407,1.8882
0,10.2407,1.9882
0,10.3407,2.0882
0,10.4407,2.1882
0,10.5407,2.2882
0,10.6407,2.3882
0,10.7407,2.4882
0,10.9407,2.4882
0,11.0407,2.5882
0,11.1407,2.6882
0,11.2407,2.7882
0,11.3407,2.8882
0,11.4407,2.9882
0,11.5407,3.0882
0,11.6407,3.1882
0,11.7407,3.2882
0,11.8407,3.3882
0,11.9407,3.4882
0,12.0407,3.5882
0,12.1407,3.6882
0,12.2407,3.7882
0,12.3407,3.8882
0,12.4407,3.9882
0,12.5407,4.0882
0,12.6407,4.1882
0,12.7407,4.2882
0,12.8407,4.3882
0,12.9407,4.4882
0,13.0407,4.5882
0,13.1407,4.6882
0,13.2407,4.7882
0,13.3407,4.8882
0,13.4407,4.9882
0,13.5407,5.0882
0,13.6407,5.1882
0,13.7407,5.2882
0,13.8407,5.3882
0,13.8407,5.5882
0,13.9407,5.6882
0,14.0407,5.7882
0,14.0407,5.9882
0,14.0407,6.1882
0,14.0407,6.3882
0,14.1407,6.4882
0,14.2407,6.5882
0,14.2407,6.7882
0,14.2407,6.9882
0,14.2407,7.1882
0,14.2407,7.3882
0,14.2407,7.5882
0,14.1407,7.6882
0,14.0407,7.7882
