label,stroke,point,x,y,pen
sample,0,0,0.00000,0.00000,0
sample,0,1,0.30000,1.00000,1
sample,0,2,0.60000,0.00000,1
sample,1,0,0.12000,0.40000,0
sample,1,1,0.48000,0.40000,1
sample,2,0,0.74000,0.00000,0
sample,2,1,0.74000,1.00000,1
sample,3,0,0.74000,1.00000,0
sample,3,1,0.77483,0.99834,1
sample,3,2,0.80918,0.99340,1
sample,3,3,0.84261,0.98522,1
sample,3,4,0.87464,0.97394,1
sample,3,5,0.90485,0.95969,1
sample,3,6,0.93284,0.94268,1
sample,3,7,0.95821,0.92313,1
sample,3,8,0.98064,0.90130,1
sample,3,9,0.99981,0.87750,1
sample,3,10,1.01546,0.85204,1
sample,3,11,1.02740,0.82527,1
sample,3,12,1.03544,0.79754,1
sample,3,13,1.03949,0.76925,1
sample,3,14,1.03949,0.74075,1
sample,3,15,1.03544,0.71246,1
sample,3,16,1.02740,0.68473,1
sample,3,17,1.01546,0.65796,1
sample,3,18,0.99981,0.63250,1
sample,3,19,0.98064,0.60870,1
sample,3,20,0.95821,0.58687,1
sample,3,21,0.93284,0.56732,1
sample,3,22,0.90485,0.55031,1
sample,3,23,0.87464,0.53606,1
sample,3,24,0.84261,0.52478,1
sample,3,25,0.80918,0.51660,1
sample,3,26,0.77483,0.51166,1
sample,3,27,0.74000,0.51000,1
sample,4,0,0.74000,0.51000,0
sample,4,1,0.77440,0.50869,1
sample,4,2,0.80844,0.50478,1
sample,4,3,0.84178,0.49831,1
sample,4,4,0.87408,0.48933,1
sample,4,5,0.90500,0.47796,1
sample,4,6,0.93423,0.46429,1
sample,4,7,0.96147,0.44848,1
sample,4,8,0.98643,0.43069,1
sample,4,9,1.00886,0.41109,1
sample,4,10,1.02854,0.38989,1
sample,4,11,1.04525,0.36730,1
sample,4,12,1.05884,0.34356,1
sample,4,13,1.06915,0.31892,1
sample,4,14,1.07608,0.29361,1
sample,4,15,1.07956,0.26792,1
sample,4,16,1.07956,0.24208,1
sample,4,17,1.07608,0.21639,1
sample,4,18,1.06915,0.19108,1
sample,4,19,1.05884,0.16644,1
sample,4,20,1.04525,0.14270,1
sample,4,21,1.02854,0.12011,1
sample,4,22,1.00886,0.09891,1
sample,4,23,0.98643,0.07931,1
sample,4,24,0.96147,0.06152,1
sample,4,25,0.93423,0.04571,1
sample,4,26,0.90500,0.03204,1
sample,4,27,0.87408,0.02067,1
sample,4,28,0.84178,0.01169,1
sample,4,29,0.80844,0.00522,1
sample,4,30,0.77440,0.00131,1
sample,4,31,0.74000,0.00000,1
sample,5,0,1.95284,0.88302,0
sample,5,1,1.93634,0.90451,1
sample,5,2,1.91898,0.92402,1
sample,5,3,1.90084,0.94147,1
sample,5,4,1.88202,0.95677,1
sample,5,5,1.86261,0.96985,1
sample,5,6,1.84269,0.98063,1
sample,5,7,1.82237,0.98907,1
sample,5,8,1.80175,0.99513,1
sample,5,9,1.78093,0.99878,1
sample,5,10,1.76000,1.00000,1
sample,5,11,1.73907,0.99878,1
sample,5,12,1.71825,0.99513,1
sample,5,13,1.69763,0.98907,1
sample,5,14,1.67731,0.98063,1
sample,5,15,1.65739,0.96985,1
sample,5,16,1.63798,0.95677,1
sample,5,17,1.61916,0.94147,1
sample,5,18,1.60102,0.92402,1
sample,5,19,1.58366,0.90451,1
sample,5,20,1.56716,0.88302,1
sample,5,21,1.55160,0.85967,1
sample,5,22,1.53706,0.83457,1
sample,5,23,1.52360,0.80783,1
sample,5,24,1.51129,0.77960,1
sample,5,25,1.50019,0.75000,1
sample,5,26,1.49036,0.71919,1
sample,5,27,1.48184,0.68730,1
sample,5,28,1.47468,0.65451,1
sample,5,29,1.46891,0.62096,1
sample,5,30,1.46456,0.58682,1
sample,5,31,1.46164,0.55226,1
sample,5,32,1.46018,0.51745,1
sample,5,33,1.46018,0.48255,1
sample,5,34,1.46164,0.44774,1
sample,5,35,1.46456,0.41318,1
sample,5,36,1.46891,0.37904,1
sample,5,37,1.47468,0.34549,1
sample,5,38,1.48184,0.31270,1
sample,5,39,1.49036,0.28081,1
sample,5,40,1.50019,0.25000,1
sample,5,41,1.51129,0.22040,1
sample,5,42,1.52360,0.19217,1
sample,5,43,1.53706,0.16543,1
sample,5,44,1.55160,0.14033,1
sample,5,45,1.56716,0.11698,1
sample,5,46,1.58366,0.09549,1
sample,5,47,1.60102,0.07598,1
sample,5,48,1.61916,0.05853,1
sample,5,49,1.63798,0.04323,1
sample,5,50,1.65739,0.03015,1
sample,5,51,1.67731,0.01937,1
sample,5,52,1.69763,0.01093,1
sample,5,53,1.71825,0.00487,1
sample,5,54,1.73907,0.00122,1
sample,5,55,1.76000,0.00000,1
sample,5,56,1.78093,0.00122,1
sample,5,57,1.80175,0.00487,1
sample,5,58,1.82237,0.01093,1
sample,5,59,1.84269,0.01937,1
sample,5,60,1.86261,0.03015,1
sample,5,61,1.88202,0.04323,1
sample,5,62,1.90084,0.05853,1
sample,5,63,1.91898,0.07598,1
sample,5,64,1.93634,0.09549,1
sample,5,65,1.95284,0.11698,1
sample,6,0,2.20000,0.00000,0
