label,stroke,point,x,y,pen
HELLO 123,0,0,-15.50000,0.60035,0
HELLO 123,0,1,-15.50000,0.93357,1
HELLO 123,0,2,-15.50000,1.26678,1
HELLO 123,0,3,-15.50000,1.60000,1
HELLO 123,0,4,-15.50000,1.93322,1
HELLO 123,0,5,-15.50000,2.26643,1
HELLO 123,0,6,-15.50000,2.59965,1
HELLO 123,1,0,-14.34041,0.60035,0
HELLO 123,1,1,-14.34041,0.93357,1
HELLO 123,1,2,-14.34041,1.26678,1
HELLO 123,1,3,-14.34041,1.60000,1
HELLO 123,1,4,-14.34041,1.93322,1
HELLO 123,1,5,-14.34041,2.26643,1
HELLO 123,1,6,-14.34041,2.59965,1
HELLO 123,2,0,-15.50000,1.60000,0
HELLO 123,2,1,-15.21010,1.60000,1
HELLO 123,2,2,-14.92020,1.60000,1
HELLO 123,2,3,-14.63031,1.60000,1
HELLO 123,2,4,-14.34041,1.60000,1
HELLO 123,3,0,-12.96089,2.59965,0
HELLO 123,3,1,-13.23579,2.59965,1
HELLO 123,3,2,-13.51070,2.59965,1
HELLO 123,3,3,-13.78560,2.59965,1
HELLO 123,3,4,-14.06051,2.59965,1
HELLO 123,3,5,-14.06051,2.26643,1
HELLO 123,3,6,-14.06051,1.93322,1
HELLO 123,3,7,-14.06051,1.60000,1
HELLO 123,3,8,-14.06051,1.26678,1
HELLO 123,3,9,-14.06051,0.93357,1
HELLO 123,3,10,-14.06051,0.60035,1
HELLO 123,3,11,-13.78560,0.60035,1
HELLO 123,3,12,-13.51070,0.60035,1
HELLO 123,3,13,-13.23579,0.60035,1
HELLO 123,3,14,-12.96089,0.60035,1
HELLO 123,4,0,-14.06051,1.60000,0
HELLO 123,4,1,-13.76061,1.60000,1
HELLO 123,4,2,-13.46072,1.60000,1
HELLO 123,4,3,-13.16082,1.60000,1
HELLO 123,5,0,-12.68099,2.59965,0
HELLO 123,5,1,-12.68099,2.26643,1
HELLO 123,5,2,-12.68099,1.93322,1
HELLO 123,5,3,-12.68099,1.60000,1
HELLO 123,5,4,-12.68099,1.26678,1
HELLO 123,5,5,-12.68099,0.93357,1
HELLO 123,5,6,-12.68099,0.60035,1
HELLO 123,5,7,-12.34777,0.60035,1
HELLO 123,5,8,-12.01456,0.60035,1
HELLO 123,5,9,-11.68134,0.60035,1
HELLO 123,6,0,-11.40144,2.59965,0
HELLO 123,6,1,-11.40144,2.26643,1
HELLO 123,6,2,-11.40144,1.93322,1
HELLO 123,6,3,-11.40144,1.60000,1
HELLO 123,6,4,-11.40144,1.26678,1
HELLO 123,6,5,-11.40144,0.93357,1
HELLO 123,6,6,-11.40144,0.60035,1
HELLO 123,6,7,-11.06822,0.60035,1
HELLO 123,6,8,-10.73501,0.60035,1
HELLO 123,6,9,-10.40179,0.60035,1
HELLO 123,7,0,-8.88232,1.60000,0
HELLO 123,7,1,-8.88383,1.66973,1
HELLO 123,7,2,-8.88835,1.73912,1
HELLO 123,7,3,-8.89587,1.80784,1
HELLO 123,7,4,-8.90633,1.87554,1
HELLO 123,7,5,-8.91970,1.94190,1
HELLO 123,7,6,-8.93591,2.00659,1
HELLO 123,7,7,-8.95487,2.06931,1
HELLO 123,7,8,-8.97650,2.12973,1
HELLO 123,7,9,-9.00069,2.18758,1
HELLO 123,7,10,-9.02732,2.24256,1
HELLO 123,7,11,-9.05627,2.29441,1
HELLO 123,7,12,-9.08739,2.34288,1
HELLO 123,7,13,-9.12053,2.38773,1
HELLO 123,7,14,-9.15553,2.42875,1
HELLO 123,7,15,-9.19221,2.46572,1
HELLO 123,7,16,-9.23041,2.49848,1
HELLO 123,7,17,-9.26993,2.52686,1
HELLO 123,7,18,-9.31058,2.55072,1
HELLO 123,7,19,-9.35217,2.56996,1
HELLO 123,7,20,-9.39448,2.58446,1
HELLO 123,7,21,-9.43732,2.59417,1
HELLO 123,7,22,-9.48047,2.59904,1
HELLO 123,7,23,-9.52374,2.59904,1
HELLO 123,7,24,-9.56689,2.59417,1
HELLO 123,7,25,-9.60973,2.58446,1
HELLO 123,7,26,-9.65204,2.56996,1
HELLO 123,7,27,-9.69363,2.55072,1
HELLO 123,7,28,-9.73428,2.52686,1
HELLO 123,7,29,-9.77380,2.49848,1
HELLO 123,7,30,-9.81200,2.46572,1
HELLO 123,7,31,-9.84868,2.42875,1
HELLO 123,7,32,-9.88368,2.38773,1
HELLO 123,7,33,-9.91682,2.34288,1
HELLO 123,7,34,-9.94794,2.29441,1
HELLO 123,7,35,-9.97689,2.24256,1
HELLO 123,7,36,-10.00352,2.18758,1
HELLO 123,7,37,-10.02771,2.12973,1
HELLO 123,7,38,-10.04934,2.06931,1
HELLO 123,7,39,-10.06830,2.00659,1
HELLO 123,7,40,-10.08451,1.94190,1
HELLO 123,7,41,-10.09788,1.87554,1
HELLO 123,7,42,-10.10834,1.80784,1
HELLO 123,7,43,-10.11586,1.73912,1
HELLO 123,7,44,-10.12038,1.66973,1
HELLO 123,7,45,-10.12189,1.60000,1
HELLO 123,7,46,-10.12038,1.53027,1
HELLO 123,7,47,-10.11586,1.46088,1
HELLO 123,7,48,-10.10834,1.39216,1
HELLO 123,7,49,-10.09788,1.32446,1
HELLO 123,7,50,-10.08451,1.25810,1
HELLO 123,7,51,-10.06830,1.19341,1
