layer,z,area,file
0,10.0000,386.0625,slice_00_z+010.0.png
1,9.0000,549.9375,slice_01_z+009.0.png
2,8.0000,662.5000,slice_02_z+008.0.png
3,7.0000,727.5000,slice_03_z+007.0.png
4,6.0000,777.5625,slice_04_z+006.0.png
5,5.0000,822.0000,slice_05_z+005.0.png
6,4.0000,856.7500,slice_06_z+004.0.png
7,3.0000,880.6250,slice_07_z+003.0.png
8,2.0000,891.1250,slice_08_z+002.0.png
9,1.0000,896.1875,slice_09_z+001.0.png
10,0.0000,879.6250,slice_10_z+000.0.png
11,-1.0000,863.3750,slice_11_z-001.0.png
12,-2.0000,823.0625,slice_12_z-002.0.png
13,-3.0000,768.1250,slice_13_z-003.0.png
14,-4.0000,696.5000,slice_14_z-004.0.png
15,-5.0000,602.7500,slice_15_z-005.0.png
16,-6.0000,474.3125,slice_16_z-006.0.png
17,-7.0000,261.8750,slice_17_z-007.0.png
