step,control_arm_a,control_arm_b,turn_control_arm_a,turn_control_arm_b,node_end_x,node_end_y,leg
0,90.463960,0.800288,0.000000,0.000000,-10.080000,9.860000,0
1,90.939024,1.596794,0.475064,0.796505,-10.160000,9.720000,0
2,91.425061,2.389394,0.486037,0.792600,-10.240000,9.580000,0
3,91.921937,3.177961,0.496876,0.788567,-10.320000,9.440000,0
4,92.429516,3.962360,0.507579,0.784399,-10.400000,9.300000,0
5,92.947655,4.742453,0.518140,0.780092,-10.480000,9.160000,0
6,93.476211,5.518092,0.528556,0.775639,-10.560000,9.020000,0
7,94.015035,6.289128,0.538824,0.771036,-10.640000,8.880000,0
8,94.563974,7.055407,0.548939,0.766278,-10.720000,8.740000,0
9,95.122873,7.816767,0.558899,0.761360,-10.800000,8.600000,0
10,95.691572,8.573045,0.568699,0.756278,-10.880000,8.460000,0
11,96.269908,9.324074,0.578336,0.751028,-10.960000,8.320000,0
12,96.857716,10.069681,0.587808,0.745607,-11.040000,8.180000,0
13,97.454826,10.809692,0.597110,0.740011,-11.120000,8.040000,0
14,98.061065,11.543928,0.606239,0.734237,-11.200000,7.900000,0
15,98.676259,12.272211,0.615194,0.728282,-11.280000,7.760000,0
16,99.300230,12.994356,0.623971,0.722145,-11.360000,7.620000,0
17,99.932797,13.710179,0.632568,0.715823,-11.440000,7.480000,0
18,100.573780,14.419495,0.640982,0.709315,-11.520000,7.340000,0
19,101.222992,15.122114,0.649213,0.702620,-11.600000,7.200000,0
20,101.880250,15.817850,0.657258,0.695736,-11.680000,7.060000,0
21,102.545365,16.506513,0.665115,0.688663,-11.760000,6.920000,0
22,103.218151,17.187913,0.672785,0.681400,-11.840000,6.780000,0
23,103.898417,17.861861,0.680266,0.673948,-11.920000,6.640000,0
24,104.585974,18.528169,0.687558,0.666308,-12.000000,6.500000,0
25,105.280634,19.186647,0.694660,0.658479,-12.080000,6.360000,0
26,105.982207,19.837110,0.701573,0.650463,-12.160000,6.220000,0
27,106.690504,20.479370,0.708298,0.642261,-12.240000,6.080000,0
28,107.405339,21.113244,0.714834,0.633874,-12.320000,5.940000,0
29,108.126523,21.738550,0.721185,0.625305,-12.400000,5.800000,0
30,108.853874,22.355105,0.727350,0.616556,-12.480000,5.660000,0
31,109.587206,22.962734,0.733332,0.607628,-12.560000,5.520000,0
32,110.326340,23.561259,0.739134,0.598526,-12.640000,5.380000,0
33,111.071098,24.150509,0.744758,0.589250,-12.720000,5.240000,0
34,111.821303,24.730314,0.750206,0.579804,-12.800000,5.100000,0
35,112.576785,25.300506,0.755482,0.570192,-12.880000,4.960000,0
36,113.337374,25.860923,0.760589,0.560417,-12.960000,4.820000,0
37,114.102906,26.411405,0.765532,0.550482,-13.040000,4.680000,0
38,114.873221,26.951795,0.770315,0.540390,-13.120000,4.540000,0
39,115.648162,27.481940,0.774941,0.530145,-13.200000,4.400000,0
40,116.427579,28.001692,0.779417,0.519752,-13.280000,4.260000,0
41,117.211325,28.510905,0.783746,0.509213,-13.360000,4.120000,0
42,117.999259,29.009436,0.787935,0.498532,-13.440000,3.980000,0
43,118.791248,29.497150,0.791988,0.487713,-13.520000,3.840000,0
44,119.587160,29.973910,0.795913,0.476760,-13.600000,3.700000,0
45,120.386875,30.439587,0.799714,0.465677,-13.680000,3.560000,0
46,121.190274,30.894053,0.803399,0.454466,-13.760000,3.420000,0
47,121.997247,31.337185,0.806974,0.443132,-13.840000,3.280000,0
48,122.807693,31.768864,0.810446,0.431678,-13.920000,3.140000,0
49,123.621515,32.188971,0.813822,0.420107,-14.000000,3.000000,0
50,122.847757,32.691454,-0.773758,0.502483,-13.840000,3.000000,1
51,122.078344,33.183533,-0.769413,0.492080,-13.680000,3.000000,1
52,121.312873,33.665411,-0.765471,0.481878,-13.520000,3.000000,1
53,120.550957,34.137264,-0.761916,0.471853,-13.360000,3.000000,1
54,119.792222,34.599246,-0.758735,0.461982,-13.200000,3.000000,1
55,119.036306,35.051489,-0.755916,0.452243,-13.040000,3.000000,1
56,118.282856,35.494104,-0.753450,0.442615,-12.880000,3.000000,1
57,117.531529,35.927183,-0.751327,0.433080,-12.720000,3.000000,1
58,116.781989,36.350800,-0.749540,0.423617,-12.560000,3.000000,1
59,116.033906,36.765009,-0.748083,0.414209,-12.400000,3.000000,1
60,115.286954,37.169846,-0.746952,0.404837,-12.240000,3.000000,1
61,114.540812,37.565331,-0.746142,0.395485,-12.080000,3.000000,1
62,113.795161,37.951466,-0.745652,0.386135,-11.920000,3.000000,1
63,113.049682,38.328236,-0.745479,0.376770,-11.760000,3.000000,1
64,112.304057,38.695609,-0.745624,0.367373,-11.600000,3.000000,1
65,111.557970,39.053537,-0.746087,0.357928,-11.440000,3.000000,1
66,110.811100,39.401954,-0.746870,0.348417,-11.280000,3.000000,1
67,110.063126,39.740777,-0.747975,0.338823,-11.120000,3.000000,1
68,109.313720,40.069906,-0.749406,0.329130,-10.960000,3.000000,1
69,108.562554,40.389224,-0.751167,0.319318,-10.800000,3.000000,1
70,107.809290,40.698595,-0.753264,0.309371,-10.640000,3.000000,1
71,107.053586,40.997864,-0.755704,0.299269,-10.480000,3.000000,1
72,106.295092,41.286858,-0.758494,0.288993,-10.320000,3.000000,1
73,105.533450,41.565382,-0.761643,0.278524,-10.160000,3.000000,1
74,104.768289,41.833223,-0.765161,0.267841,-10.000000,3.000000,1
75,103.999230,42.090144,-0.769059,0.256921,-9.840000,3.000000,1
76,103.225880,42.335888,-0.773350,0.245744,-9.680000,3.000000,1
77,102.447834,42.570172,-0.778046,0.234284,-9.520000,3.000000,1
78,101.664670,42.792689,-0.783164,0.222517,-9.360000,3.000000,1
79,100.875951,43.003105,-0.788719,0.210417,-9.200000,3.000000,1
80,100.081221,43.201061,-0.794729,0.197956,-9.040000,3.000000,1
81,99.280006,43.386165,-0.801215,0.185104,-8.880000,3.000000,1
82,98.471809,43.557997,-0.808197,0.171831,-8.720000,3.000000,1
83,97.656110,43.716101,-0.815699,0.158104,-8.560000,3.000000,1
84,96.832364,43.859988,-0.823746,0.143887,-8.400000,3.000000,1
85,95.999998,43.989131,-0.832366,0.129143,-8.240000,3.000000,1
86,95.158411,44.102962,-0.841587,0.113831,-8.080000,3.000000,1
87,94.306968,44.200872,-0.851443,0.097909,-7.920000,3.000000,1
88,93.444999,44.282203,-0.861969,0.081331,-7.760000,3.000000,1
89,92.571798,44.346250,-0.873201,0.064047,-7.600000,3.000000,1
90,91.686616,44.392256,-0.885182,0.046005,-7.440000,3.000000,1
91,90.788662,44.419404,-0.897954,0.027148,-7.280000,3.000000,1
92,89.877095,44.426819,-0.911567,0.007415,-7.120000,3.000000,1
93,88.951023,44.413560,-0.926072,-0.013260,-6.960000,3.000000,1
94,88.009500,44.378613,-0.941524,-0.034947,-6.800000,3.000000,1
95,87.051516,44.320891,-0.957983,-0.057723,-6.640000,3.000000,1
96,86.076000,44.239222,-0.975516,-0.081669,-6.480000,3.000000,1
97,85.081807,44.132348,-0.994193,-0.106874,-6.320000,3.000000,1
98,84.067718,43.998915,-1.014089,-0.133433,-6.160000,3.000000,1
99,83.032433,43.837465,-1.035286,-0.161450,-6.000000,3.000000,1
100,83.795995,44.921993,0.763563,1.084528,-6.000000,2.880000,2
101,84.579584,46.015555,0.783589,1.093563,-6.000000,2.760000,2
102,85.383136,47.117875,0.803552,1.102319,-6.000000,2.640000,2
103,86.206552,48.228637,0.823416,1.110762,-6.000000,2.520000,2
104,87.049693,49.347488,0.843141,1.118852,-6.000000,2.400000,2
105,87.912380,50.474038,0.862687,1.126550,-6.000000,2.280000,2
106,88.794390,51.607857,0.882011,1.133819,-6.000000,2.160000,2
107,89.695460,52.748473,0.901070,1.140616,-6.000000,2.040000,2
108,90.615280,53.895377,0.919820,1.146904,-6.000000,1.920000,2
109,91.553494,55.048017,0.938214,1.152640,-6.000000,1.800000,2
110,92.509703,56.205804,0.956209,1.157787,-6.000000,1.680000,2
111,93.483459,57.368109,0.973756,1.162304,-6.000000,1.560000,2
112,94.474271,58.534263,0.990812,1.166154,-6.000000,1.440000,2
113,95.481599,59.703563,1.007329,1.169301,-6.000000,1.320000,2
114,96.504863,60.875272,1.023264,1.171708,-6.000000,1.200000,2
115,97.543437,62.048616,1.038574,1.173344,-6.000000,1.080000,2
116,98.596653,63.222793,1.053216,1.174178,-6.000000,0.960000,2
117,99.663804,64.396975,1.067151,1.174182,-6.000000,0.840000,2
118,100.744147,65.570307,1.080342,1.173332,-6.000000,0.720000,2
119,101.836902,66.741912,1.092755,1.171606,-6.000000,0.600000,2
120,102.941259,67.910899,1.104357,1.168986,-6.000000,0.480000,2
121,104.056380,69.076359,1.115121,1.165460,-6.000000,0.360000,2
122,105.181403,70.237377,1.125023,1.161018,-6.000000,0.240000,2
123,106.315444,71.393031,1.134041,1.155654,-6.000000,0.120000,2
124,107.457603,72.542397,1.142159,1.149366,-6.000000,0.000000,2
125,108.606969,73.684556,1.149366,1.142159,-6.000000,-0.120000,2
126,109.762623,74.818597,1.155654,1.134041,-6.000000,-0.240000,2
127,110.923641,75.943620,1.161018,1.125023,-6.000000,-0.360000,2
128,112.089101,77.058741,1.165460,1.115121,-6.000000,-0.480000,2
129,113.258088,78.163098,1.168986,1.104357,-6.000000,-0.600000,2
130,114.429693,79.255853,1.171606,1.092755,-6.000000,-0.720000,2
131,115.603025,80.336196,1.173332,1.080342,-6.000000,-0.840000,2
132,116.777207,81.403347,1.174182,1.067151,-6.000000,-0.960000,2
133,117.951384,82.456563,1.174178,1.053216,-6.000000,-1.080000,2
134,119.124728,83.495137,1.173344,1.038574,-6.000000,-1.200000,2
135,120.296437,84.518401,1.171708,1.023264,-6.000000,-1.320000,2
136,121.465737,85.525729,1.169301,1.007329,-6.000000,-1.440000,2
137,122.631891,86.516541,1.166154,0.990812,-6.000000,-1.560000,2
138,123.794196,87.490297,1.162304,0.973756,-6.000000,-1.680000,2
139,124.951983,88.446506,1.157787,0.956209,-6.000000,-1.800000,2
140,126.104623,89.384720,1.152640,0.938214,-6.000000,-1.920000,2
141,127.251527,90.304540,1.146904,0.919820,-6.000000,-2.040000,2
142,128.392143,91.205610,1.140616,0.901070,-6.000000,-2.160000,2
143,129.525962,92.087620,1.133819,0.882011,-6.000000,-2.280000,2
144,130.652512,92.950307,1.126550,0.862687,-6.000000,-2.400000,2
145,131.771363,93.793448,1.118852,0.843141,-6.000000,-2.520000,2
146,132.882125,94.616864,1.110762,0.823416,-6.000000,-2.640000,2
147,133.984445,95.420416,1.102319,0.803552,-6.000000,-2.760000,2
148,135.078007,96.204005,1.093563,0.783589,-6.000000,-2.880000,2
149,136.162535,96.967567,1.084528,0.763563,-6.000000,-3.000000,2
150,136.001085,95.932282,-0.161450,-1.035286,-6.160000,-3.000000,3
151,135.867652,94.918193,-0.133433,-1.014089,-6.320000,-3.000000,3
152,135.760778,93.924000,-0.106874,-0.994193,-6.480000,-3.000000,3
153,135.679109,92.948484,-0.081669,-0.975516,-6.640000,-3.000000,3
154,135.621387,91.990500,-0.057723,-0.957983,-6.800000,-3.000000,3
155,135.586440,91.048977,-0.034947,-0.941524,-6.960000,-3.000000,3
156,135.573181,90.122905,-0.013260,-0.926072,-7.120000,-3.000000,3
157,135.580596,89.211338,0.007415,-0.911567,-7.280000,-3.000000,3
158,135.607744,88.313384,0.027148,-0.897954,-7.440000,-3.000000,3
159,135.653750,87.428202,0.046005,-0.885182,-7.600000,-3.000000,3
160,135.717797,86.555001,0.064047,-0.873201,-7.760000,-3.000000,3
161,135.799128,85.693032,0.081331,-0.861969,-7.920000,-3.000000,3
162,135.897038,84.841589,0.097909,-0.851443,-8.080000,-3.000000,3
163,136.010869,84.000002,0.113831,-0.841587,-8.240000,-3.000000,3
164,136.140012,83.167636,0.129143,-0.832366,-8.400000,-3.000000,3
165,136.283899,82.343890,0.143887,-0.823746,-8.560000,-3.000000,3
166,136.442003,81.528191,0.158104,-0.815699,-8.720000,-3.000000,3
167,136.613835,80.719994,0.171831,-0.808197,-8.880000,-3.000000,3
168,136.798939,79.918779,0.185104,-0.801215,-9.040000,-3.000000,3
169,136.996895,79.124049,0.197956,-0.794729,-9.200000,-3.000000,3
170,137.207311,78.335330,0.210417,-0.788719,-9.360000,-3.000000,3
171,137.429828,77.552166,0.222517,-0.783164,-9.520000,-3.000000,3
172,137.664112,76.774120,0.234284,-0.778046,-9.680000,-3.000000,3
173,137.909856,76.000770,0.245744,-0.773350,-9.840000,-3.000000,3
174,138.166777,75.231711,0.256921,-0.769059,-10.000000,-3.000000,3
175,138.434618,74.466550,0.267841,-0.765161,-10.160000,-3.000000,3
176,138.713142,73.704908,0.278524,-0.761643,-10.320000,-3.000000,3
177,139.002136,72.946414,0.288993,-0.758494,-10.480000,-3.000000,3
178,139.301405,72.190710,0.299269,-0.755704,-10.640000,-3.000000,3
179,139.610776,71.437446,0.309371,-0.753264,-10.800000,-3.000000,3
180,139.930094,70.686280,0.319318,-0.751167,-10.960000,-3.000000,3
181,140.259223,69.936874,0.329130,-0.749406,-11.120000,-3.000000,3
182,140.598046,69.188900,0.338823,-0.747975,-11.280000,-3.000000,3
183,140.946463,68.442030,0.348417,-0.746870,-11.440000,-3.000000,3
184,141.304391,67.695943,0.357928,-0.746087,-11.600000,-3.000000,3
185,141.671764,66.950318,0.367373,-0.745624,-11.760000,-3.000000,3
186,142.048534,66.204839,0.376770,-0.745479,-11.920000,-3.000000,3
187,142.434669,65.459188,0.386135,-0.745652,-12.080000,-3.000000,3
188,142.830154,64.713046,0.395485,-0.746142,-12.240000,-3.000000,3
189,143.234991,63.966094,0.404837,-0.746952,-12.400000,-3.000000,3
190,143.649200,63.218011,0.414209,-0.748083,-12.560000,-3.000000,3
191,144.072817,62.468471,0.423617,-0.749540,-12.720000,-3.000000,3
192,144.505896,61.717144,0.433080,-0.751327,-12.880000,-3.000000,3
193,144.948511,60.963694,0.442615,-0.753450,-13.040000,-3.000000,3
194,145.400754,60.207778,0.452243,-0.755916,-13.200000,-3.000000,3
195,145.862736,59.449043,0.461982,-0.758735,-13.360000,-3.000000,3
