step,base_rotation,control_arm_a,main_arm,turn_base_rotation,turn_control_arm_a,turn_main_arm,tool_tip_x,tool_tip_y,tool_tip_z,leg
0,-1.185261,87.154022,180.502297,0.000000,0.000000,0.000000,-14.500000,0.300000,9.900000,0
1,-2.454032,84.341416,180.866752,-1.268771,-2.812606,0.364456,-14.000000,0.600000,9.800000,0
2,-3.814075,81.557332,181.098042,-1.360043,-2.784084,0.231290,-13.500000,0.900000,9.700000,0
3,-5.273896,78.798865,181.200509,-1.459821,-2.758467,0.102468,-13.000000,1.200000,9.600000,0
4,-6.842773,76.065023,181.178637,-1.568877,-2.733842,-0.021872,-12.500000,1.500000,9.500000,0
5,-8.530766,73.356782,181.037500,-1.687992,-2.708241,-0.141137,-12.000000,1.800000,9.400000,0
6,-10.348684,70.677203,180.783222,-1.817918,-2.679579,-0.254279,-11.500000,2.100000,9.300000,0
7,-12.308016,68.031595,180.423436,-1.959332,-2.645608,-0.359786,-11.000000,2.400000,9.200000,0
8,-14.420773,65.427699,179.967757,-2.112757,-2.603896,-0.455679,-10.500000,2.700000,9.100000,0
9,-16.699244,62.875884,179.428235,-2.278471,-2.551815,-0.539522,-10.000000,3.000000,9.000000,0
10,-9.648045,60.966330,178.529323,7.051199,-1.909554,-0.898913,-10.000000,1.700000,9.000000,1
11,-2.290610,60.089330,178.097654,7.357435,-0.877000,-0.431669,-10.000000,0.400000,9.000000,1
12,5.142765,60.299521,178.202186,7.433375,0.210192,0.104532,-10.000000,-0.900000,9.000000,1
13,12.407419,61.583595,178.826062,7.264654,1.284074,0.623876,-10.000000,-2.200000,9.000000,1
14,19.290046,63.863163,179.870771,6.882628,2.279567,1.044709,-10.000000,-3.500000,9.000000,1
15,25.641006,67.011010,181.179226,6.350960,3.147847,1.308454,-10.000000,-4.800000,9.000000,1
16,31.383191,70.875074,182.568081,5.742185,3.864064,1.388856,-10.000000,-6.100000,9.000000,1
17,36.501441,75.302937,183.857818,5.118250,4.427863,1.289737,-10.000000,-7.400000,9.000000,1
18,41.023269,80.161309,184.892858,4.521828,4.858372,1.035041,-10.000000,-8.700000,9.000000,1
19,45.000000,85.348236,185.549520,3.976731,5.186927,0.656661,-10.000000,-10.000000,9.000000,1
20,39.749727,79.638573,186.528232,-5.250273,-5.709664,0.978713,-10.100000,-8.400000,8.700000,2
21,33.690068,74.549107,187.114877,-6.059660,-5.089466,0.586645,-10.200000,-6.800000,8.400000,2
22,26.787127,70.274117,187.545771,-6.902941,-4.274990,0.430893,-10.300000,-5.200000,8.100000,2
23,19.093492,67.079223,188.108276,-7.693635,-3.194894,0.562505,-10.400000,-3.600000,7.800000,2
24,10.784298,65.258274,189.102643,-8.309194,-1.820949,0.994367,-10.500000,-2.000000,7.500000,2
25,2.161079,65.061102,190.763643,-8.623218,-0.197172,1.661000,-10.600000,-0.400000,7.200000,2
26,-6.398957,66.609535,193.168801,-8.560036,1.548433,2.405159,-10.700000,1.200000,6.900000,2
27,-14.534455,69.838674,196.184176,-8.135498,3.229139,3.015375,-10.800000,2.800000,6.600000,2
28,-21.982438,74.499459,199.489125,-7.447983,4.660785,3.304949,-10.900000,4.400000,6.300000,2
29,-28.610460,80.228797,202.674370,-6.628021,5.729338,3.185245,-11.000000,6.000000,6.000000,2
30,-22.854820,84.186416,203.882149,5.755640,3.957619,1.207779,-12.100000,5.100000,5.900000,3
31,-17.650124,88.714578,204.818701,5.204696,4.528163,0.936552,-13.200000,4.200000,5.800000,3
32,-12.994617,93.657211,205.338390,4.655507,4.942633,0.519689,-14.300000,3.300000,5.700000,3
33,-8.857959,98.904372,205.337409,4.136658,5.247161,-0.000981,-15.400000,2.400000,5.600000,3
34,-5.194429,104.396604,204.746099,3.663530,5.492232,-0.591310,-16.500000,1.500000,5.500000,3
35,-1.952509,110.123832,203.512631,3.241920,5.727228,-1.233468,-17.600000,0.600000,5.400000,3
36,0.919105,116.126004,201.581715,2.871614,6.002172,-1.930916,-18.700000,-0.300000,5.300000,3
37,3.468229,122.503802,198.865991,2.549124,6.377797,-2.715724,-19.800000,-1.200000,5.200000,3
38,5.737735,129.456063,195.195425,2.269505,6.952261,-3.670565,-20.900000,-2.100000,5.100000,3
39,7.765166,137.402131,190.186253,2.027431,7.946068,-5.009173,-22.000000,-3.000000,5.000000,3
40,12.828783,128.460409,198.242418,5.063617,-8.941722,8.056165,-20.200000,-4.600000,4.700000,4
41,18.621579,121.935010,204.119972,5.792796,-6.525398,5.877554,-18.400000,-6.200000,4.400000,4
42,25.167870,117.171611,208.662072,6.546291,-4.763400,4.542100,-16.600000,-7.800000,4.100000,4
43,32.421065,114.037930,212.227069,7.253195,-3.133681,3.564997,-14.800000,-9.400000,3.800000,4
44,40.236358,112.563228,214.991623,7.815294,-1.474701,2.764554,-13.000000,-11.000000,3.500000,4
45,48.366461,112.786237,217.010130,8.130102,0.223009,2.018507,-11.200000,-12.600000,3.200000,4
46,56.496563,114.667274,218.224670,8.130102,1.881037,1.214540,-9.400000,-14.200000,2.900000,4
47,64.311857,118.070556,218.489324,7.815294,3.403282,0.264654,-7.600000,-15.800000,2.600000,4
48,71.565051,122.820399,217.616528,7.253195,4.749843,-0.872796,-5.800000,-17.400000,2.300000,4
49,78.111342,128.798014,215.405519,6.546291,5.977615,-2.211009,-4.000000,-19.000000,2.000000,4
50,73.474204,127.493227,217.837588,-4.637138,-1.304786,2.432069,-5.400000,-18.200000,1.800000,5
51,68.654213,126.860167,219.799417,-4.819990,-0.633060,1.961829,-6.800000,-17.400000,1.600000,5
52,63.711738,126.879409,221.292276,-4.942475,0.019241,1.492859,-8.200000,-16.600000,1.400000,5
